,14517X2,14517X5,14517X4,14517X3,14517X12,14517X8,14517X10,14517X6,14517X1,14517X7,14517X11,14517X9
YKR039W,0.007272339367255704,0.008534635282802874,0.010982478410327139,0.005504652621605202,0.011617475287600246,0.010457381267343743,0.01290375056076474,0.00933952036191424,0.007021162775226773,0.008774235065486103,0.012292952770059491,0.009648638580089396
tA(AGC)K2,0.0,0.0,0.0,0.0,0.001609207341137591,0.0,0.0,0.0013069423646598643,0.0012440985810577949,0.0015961896119130884,0.0,0.0
YKR041W,0.003653220424783359,0.004710866420877153,0.0033807327084537254,0.002927032148793164,0.003461232575714693,0.0036992883062537214,0.00296132155726306,0.004088862540864433,0.0029191884562677546,0.0046816811385129425,0.005121272601889648,0.005603524213276408
YKR042W,0.7062031253297075,0.7916301804018112,0.8195375956601232,0.6502989280203769,0.6463273864770235,0.794475425772396,0.619299936926316,0.7965967671780956,0.697072994490278,0.8134414169438579,0.680089738777319,0.7877663907489779
YKR043C,0.16800256922288545,0.15334548719809993,0.1611386273858428,0.15942102596433147,0.17733774362286467,0.2138244850523578,0.1473858597704056,0.16624837474732632,0.16611374387422967,0.2072744298931371,0.17005251331915627,0.2181243640071858
YKR044W,0.022872071035074416,0.020712343198320132,0.019517632131279238,0.02512898200972446,0.0302006328771357,0.03329571347810838,0.027514340757560138,0.02090097261008881,0.023407009385881195,0.03213360066663179,0.03269329456400608,0.03178158626763246
YKR045C,0.022116793923012766,0.027938055023813118,0.023829470132503687,0.027201212555164056,0.03964684586727739,0.03974165979010074,0.03190361271457625,0.026385941084015797,0.02242098911550095,0.036777206276985004,0.03843416601706606,0.04167621133624329
YKR046C,0.026005975905237472,0.04057318725325458,0.04646119951024682,0.017842750036185098,0.12381861782153486,0.06168963832745141,0.11759018916737904,0.043458602570628335,0.030497547949426308,0.06480293101331473,0.12526085268767903,0.06970273630762523
YKR048C,0.26255883181203715,0.306368964973555,0.3370758167505996,0.24165550049007734,0.35059127565414155,0.3633105182130538,0.2937375842693384,0.3306222679287957,0.27046931588376605,0.35886423130040074,0.3391702441555687,0.37673411377395055
YKR049C,0.05881244825969688,0.08453290056938113,0.08449721451091582,0.041915191096239965,0.13067125229664459,0.09224359355419183,0.14149460586810295,0.07736168764893943,0.06275708516470753,0.09186459802045871,0.13571151078127625,0.10522348136447413
