	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
YOR067C	652	540	634	475	426	436
YOR069W	866	724	646	1127	1018	945
YOR068C	0	1	1	1	4	0
YOR070C	692	540	377	845	713	645
YOR071C	697	557	485	648	615	591
tP(UGG)O2	0	0	0	0	0	0
YOR072W-B	0	0	0	0	0	0
YOR073W	215	161	181	249	219	219
YOR074C	407	355	315	369	376	316
YOR075W	211	196	178	230	227	203
YOR076C	395	330	305	437	442	402
YOR077W	110	71	92	134	157	171
YOR078W	444	374	506	759	861	918
YOR079C	302	250	244	615	573	508
YOR080W	317	266	253	564	449	494
YOR081C	332	281	224	327	369	364
YOR083W	124	106	104	117	120	92
YOR084W	228	154	151	181	194	170
YOR085W	1613	1355	1215	1194	1100	1034
YOR086C	2910	2313	2145	1903	1620	1747
tN(GUU)O2	0	0	0	1	0	2
YOR087W	586	459	427	531	464	483
YOR089C	507	449	333	637	666	604
YOR090C	934	781	601	766	678	654
YOR091W	1353	1370	1470	1252	1410	1421
YOR092W	501	402	498	571	586	571
YOR093C	433	382	472	534	507	541
YOR094W	141	140	130	212	211	172
YOR095C	674	630	620	338	355	328
YOR096W	15835	13450	15546	6767	6476	6045
YOR097C	145	110	97	183	174	188
YOR098C	1367	1105	1203	1621	1617	1683
YOR099W	2847	2341	2241	2575	2235	2168
YOR100C	16	16	12	35	31	22
YOR101W	960	806	715	701	698	639
YOR103C	463	406	393	480	460	426
YOR104W	421	302	307	574	498	450
YOR106W	408	357	317	452	501	492
YOR107W	201	186	231	159	216	176
YOR108W	1531	1362	1382	397	460	487
YOR109W	1844	1400	1385	2221	1945	1829
YOR110W	491	419	343	458	484	422
YOR111W	208	167	152	171	170	131
YOR112W	749	580	499	692	703	645
YOR113W	1011	730	519	1053	976	847
YOR114W	81	55	41	133	91	89
YOR115C	530	468	511	527	510	496
YOR116C	2875	2510	2979	2821	2970	2804
YOR117W	3259	2602	2102	2595	2463	2132
YOR118W	450	381	322	290	288	282
YOR119C	463	401	409	571	535	506
YOR120W	890	632	269	1006	765	665
YOR122C	4275	3454	3614	4227	4341	4322
