	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
YIL130W	480	354	469	754	799	840
YIL129C	1716	1275	1474	2058	1847	1843
YIL128W	796	567	694	904	916	897
YIL127C	534	408	437	420	460	434
YIL126W	1711	1307	1416	1211	1279	1250
YIL125W	3729	2830	2364	3032	2637	2376
YIL124W	1223	942	848	1308	1189	1074
YIL123W	1595	1098	1007	784	821	857
YIL122W	426	356	253	628	701	600
YIL121W	648	475	481	413	387	376
YIL120W	198	181	146	224	217	176
YIL119C	243	139	134	65	65	51
YIL118W	898	749	790	1157	1044	1035
YIL117C	2739	2207	1503	3633	3022	2648
YIL116W	1152	855	683	734	627	614
YIL115C	1559	1187	1245	1506	1380	1373
YIL114C	588	502	506	616	575	575
YIL113W	136	88	55	143	112	84
YIL112W	698	577	546	966	852	791
YIL111W	729	622	314	760	588	601
YIL110W	733	618	654	455	535	503
YIL109C	3694	3068	2791	3601	3360	3083
YIL108W	1159	931	699	1778	1582	1524
YIL107C	603	432	296	991	893	817
YIL106W	459	360	354	550	595	570
YIL105C	1098	841	573	1306	977	927
YIL104C	271	268	350	446	500	476
YIL103W	494	482	479	439	511	462
YIL102C-A	238	180	168	365	349	302
YIL102C	0	0	0	0	0	0
tT(AGU)I1	1	4	0	4	2	0
YIL101C	77	65	39	262	170	190
YIL099W	31	26	11	95	97	78
YIL098C	213	158	185	160	153	129
YIL097W	450	336	206	503	447	369
YIL096C	395	312	285	237	301	275
tI(AAU)I1	0	0	0	0	0	0
YIL095W	524	408	345	625	575	525
YIL094C	2628	2131	2106	1924	2073	1893
YIL093C	459	402	359	402	427	399
YIL092W	131	118	123	189	179	187
YIL091C	455	400	587	693	800	801
YIL090W	612	483	541	683	694	663
YIL089W	23	18	21	34	26	32
tE(CUC)I	0	0	1	0	0	0
YIL088C	1042	784	706	899	844	808
YIL087C	208	182	113	219	204	183
YIL085C	841	691	722	876	842	815
YIL084C	279	244	229	264	247	308
YIL083C	602	446	467	755	708	653
tI(AAU)I2	1	1	0	0	0	1
YIL079C	562	464	532	466	630	565
YIL078W	14517	11716	11146	7164	7387	6538
YIL077C	474	407	239	571	557	522
YIL076W	1993	1634	1514	2320	2290	2114
YIL075C	5152	4270	3668	5148	4589	4333
YIL074C	1474	1205	1153	1796	1716	1563
YIL073C	80	53	47	69	40	42
YIL072W	55	40	21	44	59	53
YIL071C	219	162	122	257	230	230
YIL070C	668	580	489	645	634	559
YIL069C	4315	3597	3907	1851	1973	1867
YIL068C	772	579	497	803	606	563
YIL067C	618	485	438	916	885	814
YIL066C	201	158	140	256	242	199
YIL065C	391	319	291	471	474	461
YIL064W	450	434	466	407	449	436
YIL063C	842	671	606	832	795	696
YIL062C	1183	939	759	1208	1116	1087
YIL061C	180	165	162	193	197	201
YIL060W	1	0	0	1	0	3
YIL057C	21	16	9	68	49	28
tS(UGA)I	0	0	0	0	0	0
YIL056W	752	568	319	435	476	444
YIL055C	253	149	95	558	398	394
YIL053W	22478	18174	16448	12719	13888	13133
YIL052C	8592	6737	7209	4189	3979	3613
YIL051C	9091	7192	6893	7067	7611	6965
YIL050W	656	499	341	567	504	463
YIL049W	125	109	122	230	197	215
YIL048W	1064	753	795	1612	1371	1325
YIL047C	2265	1903	2396	2697	2684	2778
YIL046W-A	4	8	4	14	14	5
YIL046W	439	356	381	1416	1271	1089
YIL045W	258	197	144	318	294	241
YIL044C	851	728	668	783	765	723
YIL043C	2910	2433	2582	2624	2669	2637
YIL042C	364	258	194	367	322	291
YIL041W	2973	2387	2115	2592	2832	2658
YIL040W	294	280	346	345	384	423
YIL039W	1434	1234	1111	1002	855	859
YIL038C	611	555	614	641	744	746
YIL037C	12	10	18	4	14	8
YIL036W	1546	1153	711	1423	1237	1107
YIL035C	646	509	468	569	539	584
YIL034C	1414	1052	876	1315	1325	1219
YIL033C	1579	1269	937	1724	1638	1490
YIL031W	873	591	568	1127	1105	1011
YIL030C	1930	1537	1910	2163	1972	2147
tK(CUU)I	0	0	0	0	0	0
YIL029C	150	115	93	146	147	149
YIL027C	372	288	307	357	354	326
YIL026C	608	464	461	552	587	521
YIL024C	41	29	45	104	99	97
YIL023C	489	394	340	684	642	562
YIL022W	1153	938	786	920	1018	960
YIL021W	837	713	661	647	687	646
YIL020C	144	113	118	82	92	75
YIL019W	290	254	231	182	207	193
YIL018W	19020	16000	17024	8257	8620	7669
YIL017C	956	682	554	1451	1092	1017
YIL016W	452	368	371	316	314	311
YIL015W	2202	1716	2207	550	573	547
tD(GUC)I1	0	0	0	0	0	1
YIL014C-A	44	32	38	85	97	98
tT(AGU)I2	0	0	0	4	0	1
YIL014W	659	506	521	555	532	539
YIL013C	161	126	137	257	233	210
YIL011W	87	85	83	572	543	535
YIL010W	778	625	524	1308	1291	1169
YIL009C-A	176	141	145	135	165	175
tD(GUC)I2	1	0	0	1	1	0
YIL009W	488	413	546	467	550	493
YIL008W	332	312	351	315	334	317
YIL007C	283	229	188	406	376	337
YIL006W	232	193	146	221	203	238
YIL005W	1070	768	755	904	846	921
YIL004C	208	160	195	236	233	193
YIL003W	296	242	227	271	280	280
YIL002W-A	363	268	301	314	248	235
YIL002C	549	401	406	412	385	364
YIL001W	182	151	172	232	242	200
YIR001C	252	198	183	240	223	176
YIR002C	698	559	519	821	787	735
YIR003W	1023	859	655	1116	994	913
YIR004W	606	529	492	660	722	622
YIR005W	114	77	129	141	115	122
YIR006C	3228	2402	2620	3238	3278	3319
tE(UUC)I	2	0	0	1	2	1
YIR007W	439	353	249	690	703	651
YIR008C	511	351	427	494	443	421
YIR009W	194	143	150	174	238	198
YIR010W	406	320	351	447	458	430
YIR011C	856	649	629	1218	1265	1209
YIR012W	1594	1439	1539	1784	1990	2056
YIR013C	2	0	1	0	0	2
YIR014W	133	124	69	157	84	113
YIR015W	141	105	92	153	162	136
YIR016W	369	327	180	422	315	295
YIR017C	36	35	37	98	87	88
YIR018W	200	153	153	458	472	419
YIR018C-A	323	298	221	285	248	209
YIR019C	19	14	11	12	9	13
ICR1	0	0	0	0	0	0
PWR1	2	5	1	1	2	0
YIR021W	259	207	202	197	208	194
YIR021W-A	2	0	1	2	0	0
YIR022W	376	355	352	299	318	302
YIR023W	664	538	607	811	832	833
YIR024C	146	133	116	171	174	152
YIR025W	88	50	57	105	95	112
YIR026C	938	780	803	761	804	802
YIR027C	30	33	35	45	61	41
YIR028W	24	26	14	27	28	24
YIR029W	70	58	49	81	81	76
YIR030C	66	46	58	40	40	39
YIR031C	170	134	161	310	366	345
YIR032C	16	11	25	43	43	40
YIR033W	1468	1135	1098	3347	3023	3273
YIR034C	697	488	381	553	578	499
YIR035C	579	556	638	365	465	433
YIR036C	390	277	261	395	457	400
YIR037W	1400	1173	1003	1495	1291	1263
YIR038C	397	335	297	757	617	592
YIR039C	285	223	129	378	283	254
YIR041W	7	3	2	8	3	12
YIR042C	155	139	116	139	128	104
tP(UGG)Q	5	0	2	0	4	2
Q0010	0	0	0	0	1	0
Q0017	0	0	0	0	0	0
15S_rRNA	498	293	286	591	501	747
tW(UCA)Q	0	0	0	0	0	0
Q0032	1	1	0	1	0	1
Q0065	222	119	108	226	348	478
Q0050	15221	9506	13840	24614	20947	22823
Q0045	1488	947	1346	2801	2154	2462
Q0070	11	10	8	14	13	11
Q0055	8155	5905	8323	15802	10773	12085
Q0060	132	49	41	119	122	170
Q0075	500	380	538	807	438	496
Q0080	0	0	0	0	1	1
Q0085	428	199	248	472	747	965
Q0092	0	0	0	0	0	0
tE(UUC)Q	0	0	1	0	0	0
Q0115	19	15	9	13	12	10
Q0120	266	130	164	291	404	574
Q0105	825	364	464	1156	1362	1589
Q0110	67	46	53	83	68	107
Q0130	4700	3506	4901	7160	5511	5414
tS(UGA)Q2	9	7	2	5	6	5
Q0140	68	45	65	92	42	34
Q0142	1	2	2	1	3	0
Q0143	2	3	1	3	0	1
Q0144	1	0	0	0	0	1
21S_rRNA	1454	816	857	1508	1025	1882
Q0160	292	116	137	365	380	401
tT(UGU)Q1	0	0	0	0	1	0
tC(GCA)Q	0	0	0	0	0	0
tH(GUG)Q	13	7	3	6	0	3
Q0182	50	38	50	50	50	49
tL(UAA)Q	0	0	0	0	0	0
tQ(UUG)Q	1	0	0	0	1	0
tK(UUU)Q	3	1	5	6	4	1
tR(UCU)Q1	0	0	1	0	0	0
tG(UCC)Q	0	0	0	0	0	1
tD(GUC)Q	0	0	0	0	0	0
tS(GCU)Q1	3	2	2	0	0	2
tR(ACG)Q2	0	0	0	0	0	0
tA(UGC)Q	0	0	0	0	0	0
tI(GAU)Q	0	0	0	0	0	0
tY(GUA)Q	1	1	0	0	0	2
tN(GUU)Q	0	0	0	1	0	0
tM(CAU)Q1	0	0	0	0	0	0
Q0250	2577	1721	2142	4607	3476	3606
Q0255	101	64	68	163	127	109
tF(GAA)Q	0	0	0	0	0	0
tT(XXX)Q2	0	0	0	0	0	0
tV(UAC)Q	0	0	0	1	0	0
Q0275	2152	1343	1874	3561	3053	3184
tM(CAU)Q2	0	0	0	0	0	0
RPM1	2	1	4	3	3	0
Q0297	0	0	0	0	0	0
YEL077C	40	40	34	52	52	70
YEL076C-A	0	0	0	0	0	0
YEL076C	0	0	0	0	0	0
YEL075C	0	0	0	0	0	0
YEL073C	58	32	34	114	49	32
YEL072W	84	44	53	104	103	94
YEL071W	6340	5477	5913	4863	6058	5864
YEL070W	23	22	7	30	28	12
YEL069C	5	3	0	3	1	5
YEL067C	32	27	21	50	47	49
YEL066W	250	207	216	462	473	450
YEL065W	418	272	469	3042	3309	3467
YEL064C	180	157	134	227	203	249
YEL063C	697	577	715	895	981	1136
YEL062W	291	249	200	334	373	318
YEL061C	490	379	409	574	645	586
YEL060C	5000	3869	3023	18519	17225	15646
YEL059C-A	73	69	32	82	115	107
YEL058W	2316	1873	1749	2716	2435	2310
YEL057C	74	54	35	109	100	77
YEL056W	815	641	483	575	498	448
YEL055C	2773	2283	2332	1589	1577	1487
snR80	760	513	447	713	690	702
YEL054C	10411	8116	8557	4003	4868	4425
YEL053C	517	398	428	385	415	440
YEL052W	1000	789	627	797	713	639
YEL051W	3550	2855	2737	2479	2305	2255
YEL050C	618	514	475	515	543	511
snR67	139	73	121	100	107	114
snR53	5	5	1	5	7	6
tG(GCC)E	0	0	0	1	0	0
YEL049W	2	2	2	42	36	34
YEL048C	102	93	125	92	143	147
YEL047C	2234	1799	1532	2775	2693	2489
YEL046C	4835	3919	4056	4259	4811	4661
YEL044W	327	325	342	402	405	397
YEL043W	1113	875	842	891	858	895
YEL042W	2357	1752	1804	1548	1406	1417
YEL041W	123	90	68	187	175	148
YEL040W	3869	3287	4017	1379	1473	1597
YEL039C	110	75	15	196	183	143
YEL038W	541	402	387	498	497	483
YEL037C	2337	1945	1737	1869	1956	1768
YEL036C	1492	1273	1260	1867	1913	1778
YEL035C	7	1	0	15	13	13
YEL034W	11022	9181	9742	4212	4770	4786
YEL033W	4149	3397	3970	1618	1827	1789
tS(AGA)E	0	0	0	1	0	0
YEL032W	1438	1145	1260	1431	1516	1407
YEL031W	8943	7235	7550	8276	7794	7416
YEL030W	227	169	147	270	281	261
YEL029C	357	299	331	282	281	275
tM(CAU)E	5	0	2	3	0	5
YEL027W	6965	5709	6465	4953	4980	4823
YEL026W	2469	2104	2143	1772	1770	1579
YEL025C	482	330	356	475	436	406
YEL024W	693	501	350	432	472	418
YEL023C	143	112	133	171	183	184
YEL022W	1799	1298	1442	1491	1486	1538
YEL021W	1	0	1	1	2	3
YEL020W-A	441	386	515	328	281	239
RPR1	17162	15326	14633	19694	14571	13299
YEL020C	253	206	200	418	428	404
YEL019C	104	83	75	133	128	121
YEL018W	146	145	123	177	192	187
YEL017C-A	3107	2671	2949	2501	2765	2831
YEL017W	394	297	327	237	244	256
YEL016C	258	233	257	212	216	239
YEL015W	956	823	702	839	811	794
YEL013W	1737	1316	1336	1479	1331	1282
tQ(UUG)E2	0	0	0	0	1	1
YEL012W	221	168	116	498	434	431
YEL011W	3314	2294	366	3269	1826	1437
tK(CUU)E1	2	1	5	4	7	2
tR(UCU)E	1	0	0	2	0	0
YEL009C	9339	7152	6125	6291	6404	5659
YEL007W	456	353	345	271	304	297
YEL006W	413	358	334	374	357	330
YEL005C	203	171	143	159	157	165
YEL004W	153	96	126	102	121	120
YEL003W	548	445	595	401	421	398
YEL002C	3105	2551	2602	2377	2181	2157
YEL001C	2140	1777	1864	1327	1284	1193
YER001W	1556	1186	1294	572	561	539
YER002W	327	311	282	197	227	241
YER003C	3429	2948	2731	1212	1179	1161
YER004W	1017	866	797	1078	1047	1065
YER005W	630	549	504	792	785	817
YER006W	3101	2618	2407	2225	2263	2168
YER007W	58	35	52	78	77	70
YER007C-A	1133	972	1003	1254	1243	1099
snR14	280	299	392	550	316	254
YER008C	1478	1301	1088	1649	1479	1359
YER009W	2838	2444	2482	2069	2092	1953
YER010C	399	293	310	426	472	448
YER011W	336	279	292	3957	3833	3691
tE(UUC)E1	4	1	0	2	2	3
YER012W	2486	1996	1777	1981	1878	1637
YER013W	472	425	446	652	669	608
YER014W	767	591	489	878	864	817
YER014C-A	2	0	2	2	4	1
YER015W	275	193	139	311	264	207
YER016W	356	331	291	274	291	258
YER017C	1253	969	817	1536	1446	1410
YER018C	138	102	103	193	227	215
YER019W	535	461	393	860	860	835
YER019C-A	1260	1090	1119	984	1034	941
YER020W	2249	1705	1104	1882	1604	1150
YER021W	2942	2319	2025	2164	2079	1897
YER022W	528	450	458	675	655	600
YER023W	2958	2394	2522	1723	1854	1847
YER024W	285	207	180	334	295	333
YER025W	4295	3597	3631	2830	3017	3020
tH(GUG)E1	0	1	0	0	0	1
YER026C	1618	1254	1113	1357	1193	1079
YER027C	909	761	650	681	727	716
YER028C	170	140	117	178	195	175
YER029C	259	230	216	266	258	219
YER030W	636	479	514	433	415	391
YER031C	459	370	333	341	329	339
YER032W	187	152	214	292	285	283
YER033C	354	216	162	561	448	443
YER034W	170	159	175	332	383	451
YER035W	524	391	406	974	1032	1114
YER036C	8194	6891	7180	5155	5399	5439
YER037W	596	421	278	1285	1189	1204
YER038C	150	133	133	231	242	246
YER039C	38	26	22	40	52	36
YER039C-A	13	6	2	17	9	7
YER040W	427	304	253	528	467	443
YER041W	318	230	238	447	483	418
YER042W	357	276	310	639	534	509
YER043C	15882	13167	12736	9845	10692	9904
YER044C	504	364	340	1688	1567	1509
YER044C-A	37	31	53	113	106	106
YER045C	407	309	252	506	485	420
YER046W	198	125	87	274	209	168
YER047C	218	129	133	222	202	207
YER048C	1588	1285	1209	1034	1041	921
tQ(UUG)E1	0	1	0	0	2	2
YER048W-A	551	401	431	912	903	876
YER049W	2264	1848	1846	1235	1440	1446
YER050C	574	519	427	624	591	519
YER051W	247	195	225	320	276	254
YER052C	2029	1655	1531	1346	1514	1455
YER053C	1094	871	612	934	829	818
YER053C-A	19	9	14	35	29	31
YER054C	291	175	66	375	231	214
YER055C	4147	3291	3279	921	1090	962
YER056C	2089	1645	1640	1359	1468	1434
YER056C-A	8204	6304	6216	2926	3310	3180
YER057C	1211	918	898	891	807	713
YER058W	54	51	59	54	43	43
YER059W	593	446	389	531	459	432
YER060W	430	371	371	262	296	247
YER060W-A	26	17	19	21	15	17
YER061C	619	492	296	372	335	295
YER062C	933	668	588	2730	2979	3235
YER063W	1065	840	638	630	602	587
YER064C	569	402	503	884	860	796
YER065C	307	207	115	247	241	194
tS(UGA)E	2	1	1	2	3	4
YER066W	138	98	49	153	111	81
YER067W	10542	7431	1407	6040	3238	2490
YER068W	642	572	517	750	789	789
YER069W	415	299	223	644	566	491
YER070W	2066	1799	3141	2298	2773	3050
YER071C	171	149	174	176	215	194
YER072W	3408	2714	2862	1267	1339	1276
YER073W	5172	4083	3139	2654	2898	2588
YER074W	9177	7626	8363	3929	3849	3512
YER074W-A	478	346	404	548	515	421
YER075C	269	219	248	600	563	605
tA(UGC)E	3	1	1	0	3	0
YER076C	238	176	144	205	225	215
YER077C	229	194	236	314	315	319
YER078C	561	449	404	460	391	340
YER078W-A	0	2	0	0	1	3
YER079W	271	222	153	395	354	303
YER080W	2052	1690	1571	2371	2169	1985
SRG1	0	0	0	0	0	0
YER081W	668	437	296	900	760	743
YER082C	1254	1087	1024	993	1185	1140
YER083C	834	644	565	736	864	768
YER085C	5	1	0	7	8	4
YER086W	2446	1948	1817	1301	1367	1324
YER087W	432	329	251	329	294	256
YER087C-B	1114	875	893	809	842	777
YER088C	2299	1632	1084	1545	1460	1405
YER089C	2130	1613	1390	1235	1259	1144
YER090W	1678	1372	1259	1031	1074	942
YER091C	7427	5914	5401	5342	4824	4301
YER092W	256	203	233	404	399	389
YER093C	664	602	617	948	862	805
YER093C-A	150	139	130	177	192	187
YER094C	2249	1831	1609	2302	2187	2018
YER095W	386	319	269	751	732	727
YER096W	70	54	43	135	118	122
tE(UUC)E2	7	1	2	5	3	7
YER098W	547	383	262	708	460	427
YER099C	571	509	442	495	481	468
YER100W	716	593	530	898	902	895
YER101C	173	139	129	239	255	232
YER102W	5003	4094	4079	2312	2424	2304
YER103W	958	1050	642	8447	7911	7480
YER104W	117	97	105	218	217	201
YER105C	1882	1536	1741	1873	1854	1868
YER106W	15	9	6	32	21	21
YER107C	740	627	617	521	564	533
YER109C	549	477	406	675	608	558
YER110C	9248	7673	8841	5485	5748	5281
YER111C	425	349	333	675	640	542
YER112W	540	422	446	431	509	388
YER113C	659	473	611	494	595	539
YER114C	1202	879	889	1587	1571	1419
YER115C	213	166	159	142	168	181
YER116C	238	174	124	370	418	376
YER117W	8166	7001	7725	4349	4378	4214
YER118C	639	491	482	580	618	597
YER119C	257	190	154	430	415	370
YER120W	3096	2552	2217	2372	2530	2403
YER121W	27	45	22	63	39	36
YER122C	1751	1448	1364	1524	1655	1538
YER123W	656	526	456	603	598	650
YER124C	3787	3004	2728	1506	1503	1505
YER125W	4350	3261	2936	3555	3286	3241
YER126C	1291	1180	1339	1205	1283	1290
YER127W	404	361	478	526	609	682
YER128W	93	65	86	95	115	93
YER129W	1190	982	998	1345	1461	1337
YER130C	787	752	1285	2031	2163	2221
YER131W	11310	9646	9940	2977	3237	3041
snR4	3889	4278	3483	5337	4409	3400
YER132C	997	768	1062	1583	1716	1750
snR52	78	61	52	152	125	62
YER133W	2990	2382	2141	3302	2699	2426
tH(GUG)E2	0	0	0	0	0	1
tK(CUU)E2	0	0	0	0	0	0
YER134C	484	414	357	428	444	379
tV(AAC)E1	0	0	0	0	0	0
YER136W	3327	2546	2209	3995	3460	3271
YER137C	34	46	44	82	81	74
SCR1	495561	430356	487148	753602	594506	550454
tI(AAU)E1	0	0	0	0	0	0
YER138W-A	87	55	57	114	167	170
YER139C	240	197	171	360	346	303
YER140W	215	205	222	320	317	331
YER141W	1093	998	698	990	837	854
YER142C	326	214	178	400	299	272
YER143W	748	632	443	918	793	724
YER144C	419	330	359	939	804	852
YER145C	1409	1161	1349	7533	8202	7898
YER146W	566	446	489	380	476	490
YER147C	258	216	189	386	309	297
YER148W	1092	889	876	838	907	823
YER149C	458	383	410	520	542	530
YER150W	531	526	543	2530	2374	2163
tV(AAC)E2	4	2	0	6	6	1
YER151C	1169	940	1088	1366	1492	1494
YER152C	1219	997	862	1357	1282	1320
YER153C	216	208	167	350	346	292
YER154W	937	774	671	879	917	789
YER155C	4152	3080	3284	3554	3282	3393
YER156C	1753	1490	1516	192	312	323
YER157W	673	554	525	702	643	599
tE(UUC)E3	0	0	0	0	0	0
YER158C	252	178	176	410	364	286
YER159C	349	259	212	485	491	471
tR(ACG)E	0	0	0	1	2	1
YER161C	507	454	353	522	600	518
YER162C	241	190	146	272	230	269
YER163C	447	364	280	574	555	486
YER164W	1500	1167	1161	1195	1208	1183
YER165W	15348	12304	12868	10267	10571	9691
YER166W	2599	2065	2332	2822	2501	2585
YER167W	1918	1497	1190	2333	2099	2003
YER168C	590	503	466	882	808	746
YER169W	573	445	542	1362	1358	1391
YER170W	136	105	108	115	91	91
YER171W	491	390	484	407	467	435
YER172C	1324	1035	1220	1405	1288	1387
YER173W	203	167	185	267	324	295
YER174C	312	258	267	151	144	121
YER175C	437	286	132	344	314	336
YER175W-A	14	6	1	9	10	11
YER176W	780	676	692	876	841	822
YER177W	13393	10828	9218	11182	12028	11387
YER178W	10988	8850	8094	8516	8448	7808
YER179W	15	12	11	25	28	13
YER180C	158	133	102	186	175	187
YER180C-A	54	49	50	66	48	56
tI(AAU)E2	0	1	2	3	3	3
YER182W	436	420	276	193	213	195
YER183C	249	230	232	244	231	187
YER184C	365	322	357	872	751	663
YER185W	43	38	40	141	150	131
YER186C	510	418	421	431	403	354
YER187W	21	27	17	42	43	46
YER188C-A	1	0	0	1	0	0
YER189W	0	0	0	1	0	0
YER190W	7	3	7	1	5	8
YER190C-B	0	0	0	0	0	0
YFL068W	0	0	0	0	0	0
YFL067W	0	0	0	0	0	0
YFL066C	0	0	0	1	0	1
YFL065C	0	1	0	0	0	4
YFL064C	0	0	0	3	1	0
YFL062W	1	0	1	2	1	2
YFL061W	0	0	0	0	0	0
YFL060C	19	12	17	15	24	28
YFL059W	21	17	13	16	20	16
YFL058W	4	1	0	3	4	2
YFL057C	36	43	19	79	65	55
YFL056C	210	130	154	369	311	338
YFL055W	92	59	67	231	156	157
YFL054C	291	160	72	322	218	186
YFL053W	5	5	1	2	3	4
YFL052W	214	147	28	245	93	81
YFL051C	9	1	4	8	16	8
YFL050C	504	433	269	767	627	553
YFL049W	383	278	249	504	427	396
YFL048C	1570	1230	1305	1510	1395	1315
YFL047W	557	452	390	381	390	401
YFL046W	181	149	147	119	139	136
YFL045C	6251	5309	6121	4104	3874	3668
YFL044C	704	518	487	585	600	540
YFL042C	746	622	368	1153	1070	968
YFL041W-A	154	153	84	237	228	166
YFL041W	910	711	721	1780	1575	1560
YFL040W	5	4	1	9	4	6
YFL039C	27576	22280	19840	20438	19499	18351
YFL038C	3323	2563	2234	3746	3693	3387
YFL037W	4510	3695	3520	3734	3738	3583
RUF21	0	1	0	1	3	0
YFL036W	1866	1401	1163	2089	1890	1815
YFL034C-B	402	325	298	420	463	442
YFL034C-A	962	830	963	464	488	429
YFL034W	710	570	574	1032	896	854
YFL033C	733	511	457	964	825	922
YFL031W	22223	18306	19425	28762	27738	25831
YFL030W	69	53	37	134	108	117
YFL029C	203	177	162	157	178	174
YFL028C	592	463	459	490	456	395
YFL027C	323	278	250	353	325	322
YFL026W	3910	3025	4042	1496	1651	1689
YFL025C	320	249	355	606	588	615
YFL024C	559	451	455	981	971	921
YFL023W	350	313	366	490	539	482
YFL022C	4479	3669	3413	2651	2890	2810
YFL021W	159	118	113	175	192	188
YFL020C	21	13	7	153	113	100
tP(UGG)F	1	1	1	1	0	1
YFL018C	3943	3113	2579	2473	2527	2307
YFL017W-A	88	104	82	141	159	181
YFL017C	357	318	340	368	372	369
YFL016C	738	722	489	1421	1349	1453
YFL014W	527	381	43	5536	4789	4372
YFL013C	569	492	417	701	695	576
YFL012W	4	2	5	2	5	4
YFL011W	12	10	6	25	26	15
YFL010C	1526	1221	1133	1867	2101	2008
YFL010W-A	5	4	4	24	38	28
YFL009W	583	469	437	759	724	654
YFL008W	720	542	584	793	718	761
YFL007W	2612	2025	2288	2487	2295	2326
YFL005W	2101	1703	1706	1883	1783	1640
RUF20	42	34	28	48	46	46
YFL004W	3093	2401	2459	1356	1238	1302
YFL003C	56	50	57	91	79	77
tN(GUU)F	0	1	1	1	0	0
YFL002C	618	488	517	605	698	665
YFL001W	480	437	446	526	548	481
YFR001W	261	301	254	183	186	169
YFR002W	1273	1076	1121	1368	1349	1377
YFR003C	594	467	354	569	467	452
YFR004W	1346	1090	828	1203	1113	1027
YFR005C	539	442	401	341	343	327
YFR006W	1622	1229	1207	1523	1354	1361
tF(GAA)F	1	1	0	0	0	0
YFR007W	230	167	196	167	203	160
YFR008W	184	167	112	215	198	179
tG(GCC)F1	0	0	0	0	2	0
YFR009W	4370	3807	3490	3824	3591	3293
YFR010W	2162	1730	1358	2131	1935	1925
YFR011C	155	125	84	128	136	82
tY(GUA)F1	2	0	1	0	1	0
YFR012W	12	5	5	9	12	12
YFR012W-A	9	8	2	12	11	12
YFR013W	1027	837	854	1069	1101	971
YFR014C	898	638	424	1290	994	903
YFR015C	5979	4249	762	1538	790	682
YFR016C	690	520	510	735	652	638
tG(GCC)F2	6	2	3	12	8	10
YFR017C	537	339	130	636	529	446
YFR018C	639	449	408	689	634	652
YFR019W	1170	869	950	1958	1706	1805
tS(GCU)F	0	2	1	1	1	1
YFR021W	665	502	343	598	598	523
YFR022W	341	314	292	807	653	676
RUF22	0	0	0	0	0	1
YFR023W	23	17	10	58	54	42
YFR024C-A	1993	1637	1386	3037	2827	2643
YFR025C	660	487	431	284	363	291
tA(AGC)F	0	0	0	0	0	0
YFR026C	52	40	38	73	75	80
YFR027W	60	46	42	79	80	68
YFR028C	632	562	624	607	714	723
tY(GUA)F2	1	0	0	0	0	1
YFR029W	254	189	146	332	343	308
YFR030W	631	517	482	1181	1030	968
YFR031C	592	458	453	734	660	573
YFR031C-A	10777	8638	8381	4480	4874	4559
RUF23	4	0	0	1	2	4
YFR032C	10	7	11	17	17	21
YFR032C-A	5973	5361	6894	3128	3096	3010
YFR032C-B	4	5	2	7	7	5
YFR033C	830	625	559	595	750	711
YFR034C	164	133	212	297	333	321
YFR035C	2	0	3	4	1	3
tK(CUU)F	1	1	1	3	1	1
YFR036W	74	52	89	62	111	96
YFR037C	1417	1188	1165	1309	1432	1341
YFR038W	447	390	379	472	461	461
YFR039C	489	397	370	680	619	580
YFR040W	2148	1601	1393	2410	2395	2230
YFR041C	518	407	357	519	422	377
YFR042W	181	140	149	211	239	219
YFR043C	233	197	179	251	220	212
YFR044C	6054	4876	4373	4274	4088	3731
YFR045W	243	206	144	251	252	184
YFR046C	252	197	172	246	257	281
YFR047C	673	516	444	830	810	718
YFR048W	345	265	313	515	539	536
YFR049W	320	273	179	380	419	348
YFR050C	2215	1639	1478	2128	2045	1888
YFR051C	2176	1720	1516	1870	1870	1603
YFR052W	1546	1274	1011	1789	1639	1448
YFR053C	6937	4509	573	7636	4562	3893
YFR055W	1068	894	917	327	357	375
YFR057W	1	0	1	0	0	2
YGL263W	83	73	79	42	45	27
YGL262W	8	4	4	8	3	2
YGL261C	3	1	0	6	2	1
YGL260W	0	0	0	0	0	0
YGL259W	29	35	14	36	32	11
YGL258W-A	33	14	12	23	18	15
YGL258W	2	3	7	3	13	7
YGL257C	475	401	451	325	357	348
YGL256W	976	785	837	357	389	409
YGL255W	1975	1542	1337	488	451	472
YGL254W	285	249	263	340	369	366
YGL253W	27282	22339	19368	16418	16088	14958
YGL252C	653	612	474	761	636	625
YGL251C	322	281	253	217	201	173
YGL250W	60	52	36	94	78	54
YGL249W	37	14	26	38	38	33
YGL248W	1003	820	605	1288	1103	988
YGL247W	97	88	102	111	153	140
YGL246C	598	475	562	728	657	598
YGL245W	16715	13902	12798	10193	9903	9345
YGL244W	267	235	206	212	187	196
YGL243W	250	213	205	264	254	192
YGL242C	447	361	384	523	576	592
YGL241W	395	320	415	457	557	475
YGL240W	101	88	110	108	117	150
YGL238W	2784	2164	2340	2186	2284	2208
YGL237C	220	204	138	250	243	184
YGL236C	467	348	368	420	428	420
YGL235W	10	9	2	9	3	9
YGL234W	6800	5431	4729	2962	3294	2856
YGL233W	856	649	618	788	873	783
YGL232W	737	630	545	456	482	484
YGL231C	852	713	732	789	712	643
YGL230C	15	14	13	20	22	33
YGL229C	341	271	159	324	325	280
YGL228W	1625	1349	1234	1453	1472	1417
YGL227W	918	743	447	1502	1203	1196
YGL226C-A	461	335	370	412	392	396
YGL226W	62	70	52	84	71	69
tV(AAC)G3	1	0	0	0	1	1
