,log2 Fold Change,-log10 P-Value
YGL184C,3.898425638135791,2.711851106405795
YGL168W,2.5037715245814325,2.9633963770129714
YGL157W,1.2068807938853006,3.481163621850528
YGL156W,2.064058104034072,3.094838505677812
YGL146C,1.5503798618285114,2.5091061077707435
YGL127C,1.0483472199440989,2.8986795728147525
YGL121C,1.4716167949427035,2.3086355073979057
YGL104C,1.0559118684943656,2.017680106077114
tE(UUC)G1,2.486500755344659,2.0009435260004533
YGL039W,2.060892490524553,4.48798038469879
YGL010W,1.17821979805464,3.154381485183957
YGR032W,1.491985897221844,2.845467117457509
YGR035C,1.985762890338934,2.707153839243501
YGR036C,1.2587879390711068,2.819486991095442
YGR055W,2.1138473576888215,3.4228404059477495
YGR060W,1.0104363619676746,2.878706610213739
YGR117C,1.0478402145172099,3.3930232463000323
YGR127W,1.0988819633067375,2.8633159836082926
YGR131W,1.4302216685888234,2.8152042937129793
YGR177C,1.2394621958755503,2.8674635330205653
YGR230W,1.0655248277410574,2.6876139043627187
YHL047C,1.8821155632412307,3.256714249923487
YHL040C,2.641915197675192,6.300003904053271
YHL035C,1.576864577089204,3.2184551872428178
YHL026C,1.039497658142626,2.1212596138957904
YHL016C,1.6992132656805532,2.227436559750256
YHR007C-A,1.3908886098058413,2.570540560547538
YHR031C,1.041559130542563,2.9986259390220087
YHR033W,1.0490886041510288,3.386228867896454
YHR048W,1.220135083214071,2.0562787716284077
YHR054C,3.440833911592042,2.5268237362363104
YHR137W,2.146243430167245,2.9251819541197603
tP(UGG)H,1.9677511892172375,2.3107739718975986
YHR172W,1.1874518482927887,2.119532690989986
YHR175W,1.0563922006449047,3.9789893074746545
YHR175W-A,2.021038806673501,2.8895254043745693
YHR178W,1.1139586089622555,2.127267959609356
YHR179W,1.0682134938678522,3.9754593094108546
YHR199C,1.7698582962371205,4.124405488792133
YJL181W,1.0245691947702993,2.0194116274030964
YJL163C,1.2997060868732733,2.389880278379783
YJL161W,1.0092689782977338,2.2534027512361554
YJL153C,1.1347996266728295,3.195397942240787
YJL151C,1.1199362382749627,3.821741304395582
YJL149W,1.2929585857711205,3.639971068943487
YJL133C-A,1.2652918016395092,2.964419822406711
YJL118W,1.3667161962631909,2.907442979601607
YJL116C,2.3352790157196233,3.3870036214354022
YJL105W,3.322622463236824,2.2056620590757454
YJL079C,1.6020473248701712,2.645103854071533
YJL077W-B,1.0454939264393097,3.670130929996732
YJL047C-A,1.3423443984079395,2.001133775059665
YJL028W,11.675763176011804,3.1352248309434847
YJR005C-A,4.645530057835906,2.275548791536674
YJR010W,1.939061967309199,4.156356645703245
YJR025C,1.3286502482407925,3.689535454657527
YJR078W,1.8676809384087323,3.2257611507215334
YJR108W,1.0972268883562062,2.7035338718946607
YJR112W,1.155071209752101,2.8031478385078437
YJR116W,1.1491705476785061,2.457309324198211
YJR119C,1.2425327513626994,3.3445010846345316
YJR150C,2.4255868991958813,3.0186006324138117
YKL161C,1.2567346382577582,3.4644815931277755
YKL151C,1.2368616822990535,2.391180380435141
YKL103C,1.296141302684292,2.37241240637878
YKL096W,1.3179670214852972,2.2135670190910184
YKL095W,1.1415994454079146,2.3790846544388855
YKL086W,2.5866652576826827,4.618045754693016
YKL067W,1.07182246549442,2.821555972441091
YKL052C,1.2926556614525253,2.267930172168424
YKL001C,1.005295783461633,2.4207024731971654
YKR013W,1.330863115638345,5.309662523887891
YKR046C,1.5767168179037299,2.6917449492665404
YKR052C,1.1821600919910578,2.9318629573879313
YKR053C,1.412546967014388,2.0327289719054122
YKR061W,1.2238765092352837,3.013316324936498
YKR069W,1.2624143069694838,3.989500683829563
YKR076W,1.7849210037946537,2.4979827059715523
YKR091W,1.5311105685455633,3.1300369226567817
YLL062C,1.6589271017965872,2.7614747016149725
YLL061W,1.4937853437681297,3.268127727993077
YLL060C,1.5863002070940586,3.7451864034301603
YLL051C,1.153640484252841,3.5582332033579873
YLL039C,1.221023688166325,2.6476880139148116
YLL012W,1.4797698070563172,3.029740695844572
YLR004C,1.5181424253243212,2.051877047252024
YLR034C,1.4540320970541127,3.606989129939301
YLR042C,1.1119904698739949,3.087066084769751
YLR046C,1.02229389233004,2.0407633433697487
YLR047C,1.1488117913372446,3.3977251486106272
YLR056W,1.3912413430847566,4.653362986874353
YLR092W,2.1047284918214393,3.0726907156356362
YLR094C,1.0437521811812855,2.476990880894432
YLR099C,1.6321816999058818,2.6392209286478563
YLR108C,1.613279736646684,2.6660782795800717
YLR109W,1.3333626310094684,3.7633516557541764
YLR126C,1.084543036340241,3.138349990712231
YLR136C,2.876308887693834,3.8280695707326284
YLR137W,1.2342639524662946,2.3276676587696734
YLR142W,1.1890722955524178,2.4073261288470085
YLR173W,1.0142082360553086,2.3288623574013565
YLR174W,1.4683983205504345,2.5092508722249027
YLR205C,2.797668046333859,2.643185670615353
YLR214W,1.5930981815030683,2.5594529527952115
YLR223C,1.305788612324345,2.203253744702768
YLR254C,1.096092478883023,2.996338571658275
YLR256W,1.0432559169398716,3.9198496597302612
YLR270W,1.0832338831452888,2.1736332702512993
YLR312C,1.9675181192484874,2.3381837787107402
YLR346C,1.5661880846493272,2.7392776411706894
YLR407W,1.1756447630356932,2.421429771163549
YML131W,1.8121986054679664,3.187793096344207
YML087C,1.2526442388097092,2.8089945061807073
YML064C,1.1695319937532311,2.453984274842542
YML058W-A,1.5660530782440008,2.7289041076800546
YMR015C,1.3688496500104472,2.3900160169999105
YMR042W,1.0445410249723672,2.6650984114691147
YMR058W,1.4983367737967812,4.245568391340134
YMR101C,1.247584561453338,2.151858509927689
YMR134W,1.3193904231947522,2.2153919045599935
YMR147W,1.014800037582202,2.5793948608596478
YMR148W,1.0447377851947057,2.17236917204539
YMR181C,1.0320486102776847,2.0542127992671078
YMR184W,1.2613214543786342,3.085639631689121
YMR191W,1.1560558349996306,3.4948200917297108
YMR246W,1.1085450401349752,2.9625159299791015
YMR258C,1.1497381244965132,2.8303205732854986
YMR317W,2.063501577998242,2.649246499457167
YNL293W,1.1884590532723975,2.2077824478795756
YNL277W,3.613378118111136,4.434848277503197
YNL270C,1.4194628030913705,2.5264517264650466
YNL269W,3.882450434031587,2.38158958978498
YNL259C,1.254121713638425,2.405825054011649
